region,sub_region,country,iso_code,credit_unions,members,savings_usd,loans_usd,reserves_usd,assets_usd,penetration_rate,data_source,data_period,notes
North America,North America,United States,US,4549,143662741.0,1979158925789.0,1663552560982,225178409019.0,2330397955260.0,,WOCCU 2024,Dec 2024,"NCUA Q2 2025: 4,488 CUs, 141.1M members, $2.37T assets"
North America,North America,Canada,CA,388,11321984.0,423964186298.0,426603896026,32977822712.0,487321743913.0,,WOCCU 2024,Dec 2024,"Incl. Desjardins. FSRA Ontario Q3 2025: 50 CUs, C$102.83B assets"
Latin America,Latin America,Bolivia,BO,41,1148406.0,1061000000.0,1060000000,198000000.0,1549000000.0,,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Brazil,BR,753,21343774.0,83217362644.0,73506972715,18887241950.0,129958516964.0,,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Chile,CL,42,2017263.0,2621000000.0,3180000000,907000000.0,4293000000.0,,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Colombia,CO,172,4400000.0,2973422952.0,3860910260,1541186400.0,6108803826.0,,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Costa Rica,CR,52,701621.0,4409002273.0,4557533082,257585726.0,7166481361.0,,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Dominican Republic,DO,17,1458374.0,1624111836.0,2108729795,450602900.0,2869371842.0,,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Ecuador,EC,398,6068627.0,23036000000.0,19567000000,152565375.0,28307000000.0,0.258,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,El Salvador,SV,344,610000.0,3543000000.0,4378000000,947000000.0,5568000000.0,0.184,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Guatemala,GT,473,2926834.0,3816519212.0,3668487679,477007820.0,4944675213.0,0.059,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Honduras,HN,341,1105958.0,1280000000.0,2069000000,1238000000.0,2899000000.0,0.063,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Mexico,MX,155,9440381.0,10869039510.0,7574525531,567814233.0,13751868351.0,0.019,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Panama,PA,450,228121.0,2051535017.0,3578785695,217368626.0,2687946499.0,0.013,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Paraguay,PY,56,1823696.0,2316278723.0,2521032643,639856001.0,3352845445.0,0.1,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Peru,PE,247,2677451.0,2005105108.0,2547788748,789347338.0,3121879324.0,0.018,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Latin America,Uruguay,UY,89,550000.0,,240000000,298000000.0,359000000.0,0.006,WOCCU 2024 / DGRV Nov 2025,Dec 2024,
Latin America,Caribbean,Anguilla,AI,1,4512.0,18530249.0,16473517,893670.0,23941076.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Antigua & Barbuda,AG,8,48266.0,206173411.0,180216318,9517416.0,243040633.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Bahamas,BS,6,50690.0,447646000.0,253827000,103341000.0,517819000.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Barbados,BB,25,248089.0,1422231380.0,1011979969,170711731.0,1632943759.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Belize,BZ,8,174447.0,585186216.0,388339095,106752337.0,729925898.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Bermuda,BM,1,7457.0,37335979.0,21038986,1202031.0,39442780.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Cayman Islands,KY,1,20271.0,719315374.0,571042064,64980525.0,788090476.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Curacao,CW,5,28645.0,177860979.0,89009983,8369303.0,197570213.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Dominica,DM,6,88802.0,446949080.0,367638875,46258328.0,492954953.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Grenada,GD,10,90617.0,438136800.0,410919411,15154834.0,568328633.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Guyana,GY,20,45467.0,47055669.0,38253018,4639324.0,69073337.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Jamaica,JM,24,1064618.0,985923968.0,858219283,210511675.0,1250771342.0,,CCCU Annual Report 2024,Dec 2024,
Latin America,Caribbean,Montserrat,MS,1,4299.0,26892380.0,19685453,1276424.0,29681468.0,,CCCU Annual Report 2024,Dec 2024,
