"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,9/30/2025 0:00:00,2,10/28/2025 10:43:30 PM,40498,8200,0,12676797,0,11225414,11225414,0,5223,30232,0,782,8816610,360,2980666,35455,0,0,0,0,0,0,0,1258,2000,0,0,0,161279,0,0,0,0,0,0,0,925,674,674,12370,5122,0,0,0,68485,80293,0,0,0,0,0,0,0,6157731,203071,0,0,340785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104562,0,0,0,0,5986,0,0,505250,0,1511572,4482140,0,0,1173841,0,0,255,0,0,0,0,0,0,0,0,0,40979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2025 0:00:00,7,10/30/2025 10:26:41 PM,2660277,1082517,0,278852542,0,209222857,241226857,0,671876,636767,478635,21286,211987834,4061,62359474,2680077,0,0,0,0,0,0,0,25961,80000,0,0,53971,2625688,0,0,0,0,0,30756,1057,1195,565,714,1761670,321371,0,0,0,0,469118,0,0,0,0,0,0,0,112673039,0,0,0,11717646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307112,0,0,0,0,5940958,7000000,32004000,45670784,5724791,39424377,41587107,2632903,0,25052663,0,0,3367,0,0,0,0,0,0,0,0,0,2597861,0,323919,0,0,0,0,0,0,0,0,0,0,1044646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837973,34059,9552521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2025 0:00:00,11,10/10/2025 10:06:46 PM,4778174,357089,0,64991643,0,59021681,59021681,0,222037,6319,0,8691,31296292,3152,13297485,310755,0,0,0,0,0,0,0,8972,18972,0,0,0,370314,0,0,0,0,0,0,1243,1045,795,845,538378,97208,0,0,0,6686,365269,0,0,0,0,0,0,0,23642201,0,0,0,3719313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543791,0,0,0,0,336598,0,0,15626097,1044153,3665126,6490675,11436737,0,6484556,0,0,356,0,0,0,0,0,0,0,0,0,390806,0,19262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107063,42601,3643959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2025 0:00:00,12,10/28/2025 10:14:20 PM,18242735,2718779,0,1216552344,0,983808237,1058398140,0,1215172,1120739,129290,38495,1081067754,6873,345192510,3510941,0,0,0,0,0,0,0,70187,849530,0,0,2008515,25022992,0,0,0,0,0,21,1100,850,699,699,3225695,729316,0,0,0,0,258347,0,0,0,0,0,0,0,162874086,0,0,0,22377973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998880,0,0,0,0,7223983,49000000,74589903,121649120,41014093,301354359,541937191,56322603,0,102769917,0,0,12801,0,0,0,0,0,0,0,0,0,12296388,0,94161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389938,133933,9123565,0,0,0,0,0,39392497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2025 0:00:00,14,10/14/2025 10:09:13 PM,0,3752,0,9247964,0,7918995,7918995,0,0,319,9080,319,3815332,63,1571703,9399,0,0,0,0,0,0,0,869,1320,0,0,0,50041,0,0,0,0,0,0,1490,1000,624,699,0,8015,0,0,0,0,0,0,0,0,0,0,0,0,4743911,479075,0,0,288350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80491,0,0,0,0,2212,0,0,1893109,139165,1142808,1142808,0,0,812220,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5687,12119,27146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2025 0:00:00,16,10/27/2025 10:27:19 PM,0,0,0,9933271,0,6732441,6732441,0,0,0,0,219,1478698,115,647302,0,0,0,0,0,0,0,0,1049,2500,0,0,0,92157,0,0,0,0,0,0,0,990,565,595,3260,243,0,0,0,0,0,0,0,0,0,0,0,0,6732441,91769,0,0,103196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65179,0,0,0,0,2371,0,0,0,0,0,0,0,0,3106690,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,28073,5941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2025 0:00:00,17,10/29/2025 10:39:43 PM,3160020,188066,0,350964379,0,291294097,291294097,0,18928,254056,102617,17434,238174653,1455,55901779,536885,0,0,0,0,0,0,0,22102,25000,0,0,0,4435133,0,0,0,0,0,0,850,824,520,520,202909,50504,0,0,0,0,0,0,0,0,0,0,0,0,79041352,0,0,0,6062997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605580,0,0,0,0,2726656,0,0,31351910,13839679,121618679,128526078,35838111,0,57697381,0,0,3072,0,0,0,0,0,0,0,0,0,399028,0,98585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842975,203705,1632737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2025 0:00:00,19,10/18/2025 10:03:46 PM,129682,26965,0,21843885,0,19485349,19485349,0,0,0,0,516,5968230,59,1789074,4655,0,0,0,0,0,0,0,1162,14437,0,-10771,0,97344,0,0,0,0,0,0,1000,1019,459,559,24738,18580,0,0,0,37548,12210,0,0,0,0,0,0,0,12069036,603146,0,0,508153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182886,0,0,0,0,91010,0,0,3318514,0,1647057,4085589,0,0,1626832,0,0,53,0,0,0,0,0,0,0,0,0,13054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15962,58924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2025 0:00:00,21,10/29/2025 11:13:33 PM,61189086,5474855,0,1445646687,0,1171211057,1181243057,0,9166516,2442086,337806,56423,1248832715,10640,397040622,22088698,0,0,0,0,0,0,0,137351,1076071,0,0,11220489,19401694,0,0,0,0,0,10032,0,1199,799,849,13451529,2971326,0,0,0,0,0,0,0,0,0,0,0,0,261153331,0,0,0,40837772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11271514,0,0,0,0,25647962,114681753,10032000,241709827,42928817,326725565,413550120,202960937,0,132699509,0,0,24701,0,0,0,0,0,0,0,0,0,20154532,0,0,0,0,0,0,0,0,0,0,0,0,127367270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5882004,398182,33438543,0,0,0,0,0,17727895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2025 0:00:00,29,10/30/2025 11:54:06 PM,1889630,381120,0,153412037,0,135104068,135104068,0,344668,53264,170758,6058,85763134,688,24060173,972433,0,0,0,0,0,0,0,13873,1137749,0,0,1,968026,0,0,0,0,0,0,895,1114,522,625,429777,245114,0,0,0,0,149908,0,0,0,0,0,0,0,69546680,0,0,0,4184880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176055,0,0,0,0,1155879,0,0,22246014,4512981,24819489,26341846,11011554,0,15847322,0,0,674,0,0,0,0,0,0,0,0,0,353756,0,2205,0,0,0,0,0,0,0,0,0,0,63580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251343,285213,495916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
