"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,9/30/2025 0:00:00,2,0,0,0,0,8254846,2970568,0,12676797,0,8254846,2970568,0,0,0,0,5,0,0,0,0,122024,0,0,0,0,0,0,0,0,450806,0,71515,0,0,0,0,0,0,0,0,0,0,0,24500,0,0,0,0,0,0,0,0,159642,1811,10356,142368,520,6118,13701,0,0,0,0,1410,4859,3829199,0,0,1975652,0,0,0,0,0,894156,0,0,0,0,160,354,0,1258,58,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,522321,0,64316,161279,0,68485,0,2361,0,0,0,0,0,0,0,0,40560,1269739,0,0,0,0,0,0,0,0,0,0,1447872,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,52563,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2025 0:00:00,7,0,0,0,0,206595012,1419656,1208189,278852542,0,209281012,30737656,1208189,0,0,0,247,0,0,0,0,122024,0,0,0,0,0,0,0,0,11571353,0,919046,0,0,0,0,0,0,0,0,0,0,0,1138789,0,0,0,0,0,0,0,0,5914478,194274,439569,3625481,340578,691821,391322,0,0,0,0,38553,81570,70347578,0,0,37611361,0,0,0,0,20277017,29336253,0,0,-126950,1986228,1286,13959,417,31013,217,91,77739,0,0,0,0,0,0,0,0,0,0,0,0,0,93,7,0,0,0,0,0,0,12490399,0,4851730,2679659,0,2272545,0,356993,202769,0,7000000,0,0,0,0,0,6041165,25395252,0,0,0,0,0,0,0,0,0,0,32343079,1160,0,0,0,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,5527949,0,0,0,0,0,0,0,0,0,21560000,0,0,9251215,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2025 0:00:00,11,0,0,0,0,55779583,1445312,1796786,64991643,0,55779583,1445312,1796786,0,0,0,231,0,0,0,0,32025,0,0,0,0,0,0,0,0,2454507,0,558975,0,0,0,0,0,0,0,0,0,0,0,1045281,0,0,0,0,0,0,0,0,1528422,55374,346636,576976,64273,593625,547832,0,0,0,0,6175,0,4777135,0,0,4398393,0,0,0,0,3288010,9105199,0,0,0,0,251,6098,149,12583,548,347,19976,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,3013482,0,1909100,370314,0,230149,0,180000,12028,0,0,0,0,0,0,0,1242529,1912677,0,0,0,0,0,0,0,0,-869906,0,6491242,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,6535486,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2025 0:00:00,12,0,0,0,0,683472608,253035778,47299851,1216552344,0,712563511,298534778,47299851,0,0,0,139,0,0,0,0,122024,0,0,0,0,0,0,0,0,47619020,0,3474656,0,0,0,0,0,0,0,0,0,0,0,4897095,0,0,0,0,0,0,0,0,10280500,226363,917965,7371088,686887,1946973,684630,0,32870,0,0,151098,79599,308106419,0,0,320047267,0,0,0,0,10313933,23918106,0,0,-21593,0,9331,35423,2512,76718,161,955,125121,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,51093676,0,9804859,27031507,0,8949431,0,0,0,0,15000000,0,0,0,0,0,6423201,71251976,0,0,0,0,0,0,0,0,-834902,0,118521734,974,0,50252707,0,662410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20538,587361011,0,0,0,0,0,23000000,11000000,0,34000000,274200743,0,0,590733,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2025 0:00:00,14,0,0,0,0,7918993,0,0,9247964,0,7918993,0,0,0,0,0,2,0,0,0,0,42025,0,0,0,0,0,0,0,0,155086,0,143079,0,0,0,0,0,0,0,0,0,0,0,17988,0,0,0,0,0,0,0,0,154742,0,2700,44983,797,75368,12102,0,0,0,0,1197,-3539,1560237,0,0,1035008,0,0,0,0,120318,189340,0,0,0,0,70,333,6,1083,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,298165,0,41311,50041,0,1085,0,40341,35462,0,0,0,0,0,0,0,118613,998189,0,0,0,0,0,0,0,0,0,0,1291295,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2025 0:00:00,16,0,0,0,0,6732441,0,0,9933271,0,6732441,0,0,0,0,0,0,0,0,0,0,92024,0,0,0,0,0,0,0,0,76892,0,243068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59101,0,13317,7222,117,3648,16717,0,0,0,0,1245,1829,876434,0,0,255632,0,0,0,0,0,334513,0,0,0,0,0,0,0,1686,0,0,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,319960,0,0,92157,0,124607,2857,0,0,0,0,0,0,0,0,0,30,482299,0,0,0,0,0,0,0,0,0,0,3198459,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2025 0:00:00,17,0,0,0,0,281689731,8246494,1357872,350964379,0,281689731,8246494,1357872,0,0,0,14,0,0,0,0,92024,0,0,0,0,0,0,0,0,10298653,0,3168144,0,0,0,0,0,0,0,0,0,0,0,237530,0,0,0,0,0,0,0,0,2370301,48608,285373,1362280,176894,843921,725083,0,86046,0,0,46385,118106,41719383,0,0,12644760,0,0,0,0,13520027,13723058,0,0,0,0,4781,12028,1340,23419,0,1492,43060,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,13466797,0,1480025,4435133,0,4398763,0,0,485065,0,0,0,0,0,0,0,1150657,19568454,0,0,0,0,0,0,0,0,166506,0,57883810,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35192490,0,0,143806,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2025 0:00:00,19,0,0,0,0,17046817,2438532,0,21843885,0,17046817,2438532,0,0,0,0,1,0,0,0,0,122024,0,0,0,0,0,0,0,0,262070,0,364992,0,0,0,0,0,0,0,0,0,0,0,87222,0,0,0,0,0,0,0,0,210034,374,34762,77352,6102,15804,135987,0,0,0,0,2989,24749,1163393,0,0,2316458,0,0,0,0,314728,233681,0,0,0,0,141,611,0,1162,141,0,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,627062,0,87222,97344,0,119558,0,111464,0,0,0,0,0,0,0,0,350746,1600275,0,0,0,0,0,0,0,0,0,0,2285072,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,25961,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2025 0:00:00,21,0,0,0,0,1075478477,93564583,2167997,1445646687,0,1085510477,93564583,2167997,0,0,0,1179,0,0,0,0,62025,0,0,0,0,0,0,0,0,67101563,0,12070326,0,0,0,0,0,0,0,0,0,0,0,11507581,0,0,0,0,0,0,0,0,24934602,523742,2831156,3940972,1593732,1410509,4917934,0,0,0,0,188793,496332,427260459,0,0,41117012,0,0,0,0,0,52103656,0,0,0,282050,12062,56143,3007,234396,0,10416,326056,0,0,0,0,0,0,0,0,0,0,0,0,0,309,26,0,0,0,0,0,0,79171889,0,17273656,30622183,0,9846436,0,5359,15009,0,0,0,0,0,0,1400065757,7239771,5337951,0,0,0,0,0,0,0,0,298167,0,134562985,960,0,393180119,0,1103740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19434,381061865,0,0,0,0,0,68800000,20000000,25881753,114681753,566201003,0,0,97118762,1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12146837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2025 0:00:00,29,0,0,0,0,132286626,2088226,729216,153412037,0,132286626,2088226,729216,0,0,0,120,0,0,0,0,92024,0,0,0,0,0,0,0,0,3422233,0,1926671,0,0,0,0,0,0,0,0,0,0,0,1060218,0,0,0,0,0,0,0,0,1672997,85723,145534,472611,43670,337246,1236670,0,54513,0,0,20495,115421,8422455,0,0,14407201,0,0,0,0,3131523,3771080,0,0,0,0,876,8123,330,13695,29,255,23308,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,5348904,0,1052029,968027,0,880293,0,66000,31159,0,0,0,0,0,0,0,1237286,8889681,0,0,0,0,0,0,0,0,0,0,17153988,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,117537,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
