"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,9/30/2025 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
6,9/30/2025 0:00:00,7,0,0,0,0,0,0,1114329,0,0,0,0,0,0,0,35392793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15740,0,0,4906408,41484974,0,0,0,0,55704,12,1,1,2,0,0,1,1,3,0,4,1,5,5,0,0,0,8,13,203,225,0,0,0,0,0,0,698
12,9/30/2025 0:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407972,0,0,0,3204267,0,0,0,0,29279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,110,0,0,0,0,0,0,27
13,9/30/2025 0:00:00,12,0,0,0,0,0,0,62865807,0,0,0,0,0,0,0,33870227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28760330,125658729,0,0,0,0,162365,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,1996,1693,0,0,0,0,0,0,973
16,9/30/2025 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,371800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,4
19,9/30/2025 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,9/30/2025 0:00:00,17,0,0,0,0,0,0,82381275,0,0,0,0,0,0,0,48476827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505832,0,0,42508,131431202,0,0,0,0,24760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2666,0,0,0,0,0,0,112
26,9/30/2025 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783750,0,0,0,0,114278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,55
28,9/30/2025 0:00:00,21,0,0,0,0,0,0,88976351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16352198,0,0,0,0,9640706,0,0,479375,158967095,0,0,0,0,59870663,389,9,0,7,0,0,0,0,197,9,249,9,260,133,0,14,0,140,398,2111,4187,15,0,0,0,0,0,3013
42,9/30/2025 0:00:00,29,0,0,0,0,0,0,16845356,0,0,0,0,0,0,0,10073086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27748400,0,0,0,0,829958,7,0,0,0,0,0,1,0,5,0,6,0,6,1,0,0,0,1,7,180,590,0,0,0,0,0,0,38
47,9/30/2025 0:00:00,30,0,0,0,0,0,0,3082344,0,0,0,0,0,0,0,2561302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237621,0,0,0,5881267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,103,0,0,0,0,0,0,115
48,9/30/2025 0:00:00,31,0,0,0,0,0,0,23913,0,0,0,0,0,0,0,1876975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148338,0,0,128673,2177899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,23,5,0,0,0,0,0,99
51,9/30/2025 0:00:00,32,0,0,0,0,0,0,544350984,0,0,0,0,0,0,0,607618135,0,0,0,0,0,0,0,0,0,36347116,0,0,0,0,50105634,0,0,154461339,1632230134,0,0,0,0,275694042,674,13,8,10,0,0,90,2,153,10,368,13,381,288,0,122,1,306,687,21467,20605,5,0,0,0,0,0,5121
53,9/30/2025 0:00:00,33,0,0,0,0,0,0,3172179,0,0,0,0,0,0,0,6126281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10411665,0,0,0,0,1113205,0,16,0,0,0,0,0,0,0,12,0,16,16,0,0,0,4,0,16,69,108,0,0,0,0,0,0,15
60,9/30/2025 0:00:00,35,0,0,0,0,0,0,28515527,0,0,0,0,0,0,0,36096820,0,0,0,0,0,0,0,0,0,2192993,0,0,0,0,2344786,0,0,0,72300489,0,0,0,0,5343356,0,8,0,0,0,0,0,8,0,0,0,8,8,0,0,0,0,0,8,521,1278,49,0,0,0,0,0,1293
77,9/30/2025 0:00:00,41,0,0,0,0,0,0,1215709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250852,0,0,0,0,129395,0,0,0,6690254,0,0,0,0,5345150,42,5,0,0,0,0,9,0,0,2,23,5,34,19,0,11,0,19,47,81,146,0,0,0,0,0,0,240
79,9/30/2025 0:00:00,43,0,0,0,0,0,0,36054965,0,0,0,0,0,0,0,35656580,0,0,0,0,0,0,0,0,0,11154219,0,0,0,0,0,0,0,2866509,92270913,0,0,0,0,17692859,310,0,25,124,0,0,75,0,32,0,122,0,122,39,0,13,0,188,310,1062,1028,3,0,0,0,0,0,1604
82,9/30/2025 0:00:00,46,0,0,0,0,0,0,54458794,0,0,0,0,0,0,0,10833664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8767273,0,0,2585467,77149099,0,0,0,0,503901,31,1,0,0,0,0,4,0,17,1,31,1,32,0,0,10,0,0,32,734,655,0,0,0,0,0,0,42
90,9/30/2025 0:00:00,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,9/30/2025 0:00:00,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,9
107,9/30/2025 0:00:00,57,0,0,0,0,0,0,48036,0,0,0,0,0,0,0,4272746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203874,0,0,0,5164959,0,0,0,0,640303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,98,0,0,0,0,0,0,25
108,9/30/2025 0:00:00,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30676,422980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,117
110,9/30/2025 0:00:00,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,16,0,0,16,0,0,16,60,0,0,0,0,0,0,0,20
119,9/30/2025 0:00:00,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,11
120,9/30/2025 0:00:00,63,0,0,0,0,0,0,15011815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15983699,0,0,0,0,971884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,402,0,0,0,0,0,0,7
132,9/30/2025 0:00:00,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,9/30/2025 0:00:00,70,0,0,0,0,0,0,3176480,0,0,0,0,0,0,0,4599305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854561,0,0,483995,9480811,0,0,0,0,366470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,267,0,0,0,0,0,0,191
138,9/30/2025 0:00:00,72,0,0,0,0,0,0,625158,0,0,0,0,0,0,0,2120879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789095,0,0,0,0,43058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,34,0,0,0,0,0,0,81
146,9/30/2025 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
147,9/30/2025 0:00:00,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
150,9/30/2025 0:00:00,77,0,0,0,0,0,0,20179269,0,0,0,0,0,0,0,66040109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14082346,0,0,2693062,111835828,0,0,0,0,8841042,12,38,0,0,0,0,0,1,4,15,10,25,40,2,13,6,8,15,50,316,811,5,0,0,0,0,0,34
151,9/30/2025 0:00:00,78,0,0,0,0,0,0,44815563,0,0,0,0,0,0,0,166911358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26481052,0,0,0,239433041,0,0,0,0,1225068,1,2,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,2,3,2417,1760,0,0,0,0,0,0,145
153,9/30/2025 0:00:00,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,9/30/2025 0:00:00,83,0,0,0,0,0,0,132856748,0,0,0,0,0,0,0,112742640,0,0,0,0,0,0,0,0,0,81194281,0,0,0,0,7277737,0,0,9316179,272705574,0,0,0,0,10512270,1561,8,7,624,0,0,216,1,88,3,333,6,358,597,2,13,2,1209,1569,4356,5687,129,3,0,0,0,3,3690
162,9/30/2025 0:00:00,85,0,0,0,0,0,0,16153586,0,0,0,0,0,0,0,10991028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108475,0,0,0,30976473,0,0,0,0,1723384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,234,0,0,0,0,0,0,626
