"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,9/30/2025 0:00:00,2,0,0,40560,0,1,0,36214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16088,0,0,0,16088,0,0,0,0,0,11231400,0,0,0,0,0,0,0,0,03/01/2023,7500,12679272,0,0,0,0,0,0,0,0,0,0,0,39816,0,0,0,0,0,0,0,0,0,0
6,9/30/2025 0:00:00,7,0,0,6041165,0,1,0,2728610,0,0,0,0,0,0,0,0,0,0,0,0,6049647,10780421,2085789,1947987,0,20863844,0,0,0,0,0,0,0,-861121,0,671514,0,0,765,672279,0,0,0,0,0,254370584,0,0,0,0,0,0,0,0,01/01/2023,0,278852542,0,0,0,0,0,0,0,0,0,0,0,1847355,0,0,6308,0,0,59,1568634,0,0,0
12,9/30/2025 0:00:00,11,0,0,1191348,51181,1,0,1168876,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1991667,1235379,480373,0,0,3707419,0,0,0,602806,0,0,0,602806,0,0,0,0,0,59370307,0,0,0,0,0,0,0,0,04/01/2023,0,64991643,0,0,0,0,0,0,0,0,0,0,0,863819,0,0,0,0,0,0,0,0,0,0
13,9/30/2025 0:00:00,12,0,70994863,3902752,2520449,1,0,3598347,0,0,0,0,0,0,0,0,0,0,0,0,113128,57546,0,0,0,170674,0,0,0,0,0,0,0,-4794,0,2539624,0,0,0,2539624,0,0,0,0,0,1114622123,0,0,0,0,0,0,0,0,01/01/2023,2278236,1217304161,0,0,0,0,0,0,0,0,0,0,0,4928400,0,0,0,0,0,0,0,0,0,0
16,9/30/2025 0:00:00,14,0,0,118613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7956669,0,0,0,0,0,0,0,0,,0,9247964,0,0,0,0,0,0,0,0,0,0,0,23323,0,0,0,0,0,0,0,0,0,0
19,9/30/2025 0:00:00,16,0,0,30,0,1,0,30588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6672000,1227000,0,0,0,7899000,0,0,0,0,0,0,0,0,0,0,0,0,0,6734812,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,9933271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2025 0:00:00,17,0,19228764,217345,933312,1,0,1583538,3527331,0,0,0,0,3527331,0,0,0,0,0,0,1304250,556045,15241812,6228632,0,23330739,0,0,0,0,0,0,0,-1405326,0,49929,0,0,0,49929,0,0,0,0,0,294505818,0,0,0,0,0,0,0,0,12/01/2023,564939,351150808,0,0,0,0,0,0,0,0,0,0,0,1023156,0,219287,52,0,0,0,0,0,0,0
26,9/30/2025 0:00:00,19,0,0,350746,0,1,0,52249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19576359,0,0,0,0,0,0,0,0,01/01/2023,53172,21861431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2025 0:00:00,21,0,4971937,7239771,0,1,0,21034571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10598608,14680490,0,25279098,0,0,0,0,0,0,0,-8938770,0,15139154,0,0,0,15139154,0,0,0,0,0,1321587781,7,199877,116855,0,0,0,4,10560,07/01/2023,5646897,1447510163,0,0,0,0,0,0,0,0,0,0,0,11524640,0,0,-5345753,0,0,1,9500000,0,0,0
42,9/30/2025 0:00:00,29,0,0,1237286,0,1,0,461319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8106000,12679000,3549000,0,0,24334000,0,0,0,367733,0,0,0,367733,0,0,0,0,0,136291106,0,0,0,0,0,0,0,0,10/01/2023,100174,153445094,0,0,0,0,0,0,0,0,0,0,0,-8189,0,0,0,0,0,0,0,0,0,0
